Taxa,common_name,native,fed_status,state_status
Acanthogobius flavimanus,Yellowfin Goby,FALSE,,
Acipenser medirostris,Green Sturgeon,TRUE,T,
Acipenser transmontanus,White Sturgeon,TRUE,,T (Candidate)
Allosmerus elongatus,Whitebait Smelt,TRUE,,
Alopias vulpinus,Common Thresher,TRUE,,
Alosa sapidissima,American Shad,FALSE,,
Alosinae,Shads,,,
Ameiurus catus,White Catfish,FALSE,,
Ameiurus melas,Black Bullhead,FALSE,,
Ameiurus nebulosus,Brown Bullhead,FALSE,,
Ammodytes hexapterus,Pacific Sand Lance,TRUE,,
Amphistichus argenteus,Barred Surfperch,TRUE,,
Amphistichus koelzi,Calico Surfperch,TRUE,,
Amphistichus rhodoterus,Redtail Surfperch,TRUE,,
Artedius fenestralis,Padded Sculpin,TRUE,,
Artedius harringtoni,Scalyhead Sculpin,TRUE,,
Artedius notospilotus,Bonyhead Sculpin,TRUE,,
Atherinops affinis,Topsmelt Silverside,TRUE,,
Atherinopsis californiensis,Jacksmelt,TRUE,,
Atractoscion nobilis,White Seabass,TRUE,,
Aulorhynchus flavidus,Tubesnout,TRUE,,
Bathymasteridae,Ronquils,,,
Carassius auratus,Goldfish,FALSE,,
Catostomus occidentalis,Sacramento Sucker,TRUE,,
Caulolatilus princeps,Ocean Whitefish,TRUE,,
Centrarchidae,Sunfishes,,,
Chilara taylori,Spotted Cusk-Eel,TRUE,,
Citharichthys,Whiffs,,,
Citharichthys sordidus,Pacific Sanddab,TRUE,,
Citharichthys stigmaeus,Speckled Sanddab,TRUE,,
Clevelandia ios,Arrow Goby,TRUE,,
Clupea pallasii,Pacific Herring,TRUE,,
Cololabis saira,Pacific Saury,TRUE,,
Cottus asper,Prickly Sculpin,TRUE,,
Cymatogaster aggregata,Shiner Perch,TRUE,,
Cyprinidae,Carps and Minnows,,,
Cyprinodontidae,Minnows,,,
Cyprinus carpio,Common Carp,FALSE,,
Dorosoma petenense,Threadfin Shad,FALSE,,
Embiotoca jacksoni,Black Surfperch,TRUE,,
Embiotoca lateralis,Striped Surfperch,TRUE,,
Embiotocidae,Surfperches,,,
Engraulis mordax,Northern Anchovy,TRUE,,
Enophrys bison,Buffalo Sculpin,TRUE,,
Galeorhinus galeus,Tope Shark (Soupfin),TRUE,,
Gambusia affinis,Western Mosquitofish,FALSE,,
Gasterosteus aculeatus,Threespine Stickleback,TRUE,,
Genyonemus lineatus,White Croaker,TRUE,,
Gillichthys mirabilis,Longjaw Mudsucker,TRUE,,
Hemilepidotus hemilepidotus,Red Irish Lord,TRUE,,
Hemilepidotus spinosus,Brown Irish Lord,TRUE,,
Hexagrammos decagrammus,Kelp Greenling,TRUE,,
Hyperprosopon anale,Spotfin Surfperch,TRUE,,
Hyperprosopon argenteum,Walleye Surfperch,TRUE,,
Hyperprosopon ellipticum,Silver Surfperch,TRUE,,
Hypomesus nipponensis,Wakasagi,FALSE,,
Hypomesus pretiosus,Surf Smelt,TRUE,,
Hypomesus transpacificus,Delta Smelt,TRUE,E,E
Hypsoblennius jenkinsi,Mussel Blenny,TRUE,,
Hypsurus caryi,Rainbow Seaperch,TRUE,,
Hysterocarpus traskii,California Roach,TRUE,,
Ictalurus furcatus,Blue Catfish,FALSE,,
Ictalurus punctatus,Channel Catfish,FALSE,,
Ilypnus gilberti,Cheekspot Goby,TRUE,,
Inopsetta ischyra,Narrowtail Tonguefish,TRUE,,
Lampetra ayresii,Pacific Lamprey,TRUE,,
Lampetra richardsoni,Western Brook Lamprey,TRUE,,
Lampetra tridentata,Pacific Lamprey (syn.),TRUE,,
Lavinia exilicauda,Hitch,TRUE,,SC
Lepidogobius lepidus,Bay Goby,TRUE,,
Lepomis cyanellus,Green Sunfish,FALSE,,
Lepomis gibbosus,Pumpkinseed,FALSE,,
Lepomis macrochirus,Bluegill,FALSE,,
Lepomis microlophus,Redear Sunfish,FALSE,,
Leptocottus armatus,Staghorn Sculpin,TRUE,,
Leuresthes tenuis,California Grunion,TRUE,,
Liparis,Snailfishes,,,
Liparis fucensis,Smoothtail Snailfish,TRUE,,
Liparis pulchellus,Showy Snailfish,TRUE,,
Lucania goodei,Bluefin Killifish,FALSE,,
Lucania parva,Rainwater Killifish,FALSE,,
Lumpenus sagitta,Snake Prickleback,TRUE,,
Medialuna californiensis,Halfmoon,TRUE,,
Menidia audens,Mississippi Silverside,FALSE,,
Microgadus proximus,Pacific Tomcod,TRUE,,
Micrometrus minimus,Dwarf Surfperch,TRUE,,
Micropterus punctulatus,Spotted Bass,FALSE,,
Micropterus salmoides,Largemouth Bass,FALSE,,
Microstomus pacificus,Dover Sole,TRUE,,
Morone saxatilis,Striped Bass,FALSE,,
Mustelus henlei,Brown Smoothhound,TRUE,,
Myliobatis californica,Bat Ray,TRUE,,
Mylopharodon conocephalus,Hardhead,TRUE,,SC
Neoclinus uninotatus,Lonesome Blenny,TRUE,,
Notemigonus crysoleucas,Golden Shiner,FALSE,,
Notorynchus cepedianus,Broadnose Sevengill Shark,TRUE,,
Odontopyxis trispinosa,Three-spined Poacher,TRUE,,
Oncorhynchus kisutch,Coho Salmon,TRUE,E,E
Oncorhynchus mykiss,Steelhead (Rainbow Trout),TRUE,T,T
Oncorhynchus tshawytscha,Chinook Salmon,TRUE,T,T
